sc3.sc3_18,sc3.sc3_17,sc3.sc3_16,sc3.sc3_15,sc3.sc3_14,sc3.sc3_13,sc3.sc3_12,sc3.sc3_11,sc3.sc3_10,sc3.sc3_9,sc3.sc3_8,sc3.sc3_7,sc3.sc3_6,sc3.sc3_5,sc3.sc3_4,sc3.sc3_3,sc3.sc3_2,sc3.sc3_1,sc3.sc3_0,Monocle.Monocle_14,Monocle.Monocle_13,Monocle.Monocle_12,Monocle.Monocle_11,Monocle.Monocle_10,Monocle.Monocle_9,Monocle.Monocle_8,Monocle.Monocle_7,Monocle.Monocle_6,Monocle.Monocle_5,Monocle.Monocle_4,Monocle.Monocle_3,Monocle.Monocle_2,Monocle.Monocle_1,Monocle.Monocle_0,Seurat.Seurat_10,Seurat.Seurat_9,Seurat.Seurat_8,Seurat.Seurat_7,Seurat.Seurat_6,Seurat.Seurat_5,Seurat.Seurat_4,Seurat.Seurat_3,Seurat.Seurat_2,Seurat.Seurat_1,Seurat.Seurat_0,cells
7,7,7,7,7,8,9,9,10,10,10,10,10,10,10,11,12,12,12,7,7,7,7,7,8,9,9,9,9,9,9,9,10,10,10,11,12,13,14,15,15,16,17,18,19,human1_lib3.final_cell_0705
10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,14,15,16,17,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,10,11,12,13,14,15,15,16,17,18,19,human1_lib3.final_cell_0706
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,7,8,8,8,8,8,8,8,9,9,2,2,2,2,2,2,2,2,2,2,2,human1_lib3.final_cell_0707
6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,7,7,7,7,7,7,7,8,13,7,7,7,7,8,9,9,9,9,10,10,human1_lib3.final_cell_0708
10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,14,15,16,17,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,10,11,12,13,14,15,15,16,17,18,19,human1_lib3.final_cell_0709
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,9,10,10,10,13,14,15,15,16,16,16,17,17,18,19,5,5,5,5,5,5,5,10,11,12,12,human1_lib3.final_cell_0710
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,9,10,10,10,13,14,15,15,16,16,16,17,17,18,19,5,5,5,5,5,5,5,10,11,12,12,human1_lib3.final_cell_0711
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,9,10,10,10,13,14,15,16,17,17,18,19,20,21,22,5,5,5,5,5,5,5,10,11,12,18,human1_lib3.final_cell_0712
10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,14,15,16,17,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,2,2,2,2,2,2,2,2,2,2,2,human1_lib3.final_cell_0713
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,9,10,10,10,13,14,15,15,16,16,16,17,19,20,21,5,5,5,5,5,5,5,5,5,5,5,human1_lib3.final_cell_0714
10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,14,15,16,17,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,10,11,12,13,14,15,15,16,17,18,19,human1_lib3.final_cell_0715
7,7,7,7,7,8,9,9,10,10,10,10,10,10,10,11,12,12,12,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,10,11,12,13,14,15,15,16,17,18,19,human1_lib3.final_cell_0716
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,7,8,8,8,8,8,8,8,9,9,2,2,2,2,2,2,2,2,2,2,2,human1_lib3.final_cell_0717
10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,14,15,16,17,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,10,11,12,13,14,15,15,16,17,18,19,human1_lib3.final_cell_0718
10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,14,15,16,17,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,10,11,12,13,14,15,15,16,17,18,19,human1_lib3.final_cell_0719
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,9,10,10,10,13,14,15,15,16,16,16,17,17,18,19,5,5,5,5,5,5,5,10,11,12,12,human1_lib3.final_cell_0720
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,14,14,9,10,10,10,13,14,15,16,17,17,18,19,20,21,22,5,5,5,5,5,5,5,10,11,12,18,human1_lib3.final_cell_0721
5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,10,10,10,4,4,4,4,4,4,5,5,5,5,5,10,10,11,11,5,5,5,5,5,6,6,6,6,8,8,human1_lib3.final_cell_0722
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,15,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,human1_lib3.final_cell_0723
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,2,2,2,2,2,2,2,2,2,2,2,human1_lib3.final_cell_0724
10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,14,15,16,17,7,7,7,7,7,8,9,9,9,9,9,9,9,10,10,2,2,2,2,2,2,2,2,2,2,2,human1_lib3.final_cell_0725
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,9,10,10,10,13,14,15,15,16,16,16,17,19,20,21,5,5,5,5,5,5,5,5,5,5,5,human1_lib3.final_cell_0726
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,9,10,10,10,13,14,15,15,16,16,16,17,19,20,21,5,5,5,5,5,5,5,5,5,5,5,human1_lib3.final_cell_0727
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,9,10,10,10,13,14,15,15,16,16,16,17,19,20,21,5,5,5,5,5,5,5,5,5,5,5,human1_lib3.final_cell_0728
10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,14,15,16,17,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,10,11,12,13,14,15,15,16,17,18,19,human1_lib3.final_cell_0729
10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,14,15,16,17,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,10,11,12,13,14,15,15,16,17,18,19,human1_lib3.final_cell_0730
6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,6,6,6,6,6,7,7,7,7,7,7,human1_lib3.final_cell_0731
10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,14,15,16,17,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,10,11,12,13,14,15,15,16,17,18,19,human1_lib3.final_cell_0732
7,7,7,7,7,8,9,9,10,10,10,10,10,10,10,11,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib3.final_cell_0733
10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,14,15,16,17,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,10,11,12,13,14,15,15,16,17,18,19,human1_lib3.final_cell_0734
6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,6,6,6,6,6,7,7,7,7,7,7,human1_lib3.final_cell_0735
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,9,10,10,10,13,14,15,15,16,16,16,17,17,18,19,5,5,5,5,5,5,5,10,11,12,12,human1_lib3.final_cell_0736
10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,14,15,16,17,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,10,11,12,13,14,15,15,16,17,18,19,human1_lib3.final_cell_0737
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,9,10,10,10,13,14,15,15,16,16,16,17,17,18,19,5,5,5,5,5,5,5,10,11,12,12,human1_lib3.final_cell_0738
10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,14,15,16,17,10,11,11,11,11,12,13,13,13,13,13,14,14,15,16,2,2,2,2,2,2,2,2,2,2,2,human1_lib3.final_cell_0739
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,9,10,10,10,13,14,15,15,16,16,16,17,19,20,21,5,5,5,5,5,5,5,5,5,5,5,human1_lib3.final_cell_0740
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0001
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0002
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0003
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0004
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0005
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0006
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0007
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0008
5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,human2_lib1.final_cell_0009
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,12,13,14,15,16,17,18,19,20,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,human2_lib1.final_cell_0010
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0011
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0012
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0013
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0014
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0015
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0016
2,2,2,2,14,15,16,16,17,17,17,18,18,19,19,20,21,22,23,5,5,5,5,5,7,8,8,8,8,8,8,8,9,9,2,2,10,10,11,12,12,13,14,15,15,human2_lib1.final_cell_0017
5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,10,10,10,4,4,4,4,4,4,5,5,5,5,5,10,10,11,11,5,5,5,5,5,6,6,6,6,8,8,human2_lib1.final_cell_0018
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0019
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,8,8,8,8,9,10,10,10,10,10,11,11,12,12,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0020
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,12,13,14,15,16,17,18,19,20,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,human2_lib1.final_cell_0021
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,8,8,8,8,9,10,10,10,18,19,20,21,22,23,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0022
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,8,8,8,8,9,10,10,10,10,10,11,11,12,12,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0023
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0024
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,12,13,14,15,16,17,18,19,20,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,human2_lib1.final_cell_0025
6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,11,12,12,12,12,12,13,13,14,15,5,5,5,11,12,13,13,14,15,16,16,human2_lib1.final_cell_0026
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0027
5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,10,10,10,4,4,4,4,4,4,5,5,5,5,5,10,10,11,11,5,5,5,5,5,6,6,6,6,8,8,human2_lib1.final_cell_0028
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,12,13,14,15,16,17,18,19,20,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,human2_lib1.final_cell_0029
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,12,13,14,15,16,17,18,19,20,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,human2_lib1.final_cell_0030
5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,human2_lib1.final_cell_0031
5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,10,10,10,4,4,4,4,4,4,5,5,5,5,5,10,10,11,11,5,5,5,5,5,6,6,6,6,8,8,human2_lib1.final_cell_0032
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0033
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0034
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0035
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0036
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,8,8,8,8,9,10,10,10,10,10,11,11,12,12,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0037
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,12,13,14,15,16,17,18,19,20,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,human2_lib1.final_cell_0038
6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,11,12,12,12,12,12,13,13,14,15,5,5,5,11,12,13,13,14,15,16,16,human2_lib1.final_cell_0039
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,9,10,10,10,13,14,15,16,17,17,18,19,20,21,22,9,9,9,9,10,11,11,12,13,14,14,human2_lib1.final_cell_0040
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0041
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0042
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,12,13,14,15,16,17,18,19,20,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,human2_lib1.final_cell_0043
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0044
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,8,8,8,8,9,10,10,10,10,10,11,11,12,12,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0045
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0046
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0047
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0048
5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,10,10,10,9,10,10,10,13,14,15,15,16,16,17,18,18,19,20,5,5,5,5,5,6,6,6,6,8,8,human2_lib1.final_cell_0049
5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,human2_lib1.final_cell_0050
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,12,13,14,15,16,17,18,19,20,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,human2_lib1.final_cell_0051
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,8,8,8,8,9,10,10,10,18,19,20,21,22,23,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0052
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,9,10,10,10,13,14,15,15,16,16,16,17,19,20,21,5,5,5,5,5,5,5,5,5,5,5,human2_lib1.final_cell_0053
2,2,2,2,14,15,16,16,17,17,17,18,18,19,19,20,21,22,23,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,10,10,11,12,12,13,14,15,15,human2_lib1.final_cell_0054
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,8,8,8,8,9,10,10,10,10,10,11,11,12,12,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0055
2,2,2,2,14,15,16,16,17,17,17,18,18,19,19,20,21,22,23,5,5,5,5,5,7,8,8,8,8,8,8,8,9,9,2,2,10,10,11,12,12,13,14,15,15,human2_lib1.final_cell_0056
2,2,2,2,14,15,16,16,17,17,17,18,18,19,19,20,21,22,23,5,5,5,5,5,7,8,8,8,8,8,8,8,9,9,2,2,10,10,11,12,12,13,14,15,15,human2_lib1.final_cell_0057
2,2,2,2,14,15,16,16,17,17,17,18,18,19,19,20,21,22,23,7,7,7,12,12,13,14,14,15,15,15,16,16,17,18,2,2,10,10,11,12,12,13,14,15,15,human2_lib1.final_cell_0058
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,8,8,8,8,9,10,10,10,10,10,11,11,12,12,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0059
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0060
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human2_lib1.final_cell_0061
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,8,8,8,8,9,10,10,10,10,10,11,11,12,12,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0062
2,2,2,2,14,15,16,16,17,17,17,18,18,19,19,20,21,22,23,5,5,5,5,5,7,8,8,8,8,8,8,8,9,9,2,2,10,10,11,12,12,13,14,15,15,human2_lib1.final_cell_0063
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,7,7,7,7,8,9,9,9,9,10,10,human2_lib1.final_cell_0064
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0065
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0066
5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,10,10,10,4,4,4,4,4,4,5,5,5,5,5,10,10,11,11,5,5,5,5,5,6,6,6,6,8,8,human2_lib1.final_cell_0067
2,2,2,2,14,15,16,16,17,17,17,18,18,19,19,20,21,22,23,7,7,7,12,12,13,14,14,15,15,15,16,16,17,18,2,2,10,10,11,12,12,13,14,15,15,human2_lib1.final_cell_0068
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,4,4,4,4,4,4,5,5,5,5,5,10,10,11,11,5,5,5,5,5,6,6,6,6,6,6,human2_lib1.final_cell_0069
5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,human2_lib1.final_cell_0070
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,12,13,14,15,16,17,18,19,20,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,human2_lib1.final_cell_0071
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0072
2,2,2,2,14,15,16,16,17,17,17,18,18,19,19,20,21,22,23,5,5,5,5,5,7,8,8,8,8,8,8,8,9,9,2,2,10,10,11,12,12,13,14,15,15,human2_lib1.final_cell_0073
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,12,13,14,15,16,17,18,19,20,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,human2_lib1.final_cell_0074
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0075
2,2,2,2,14,15,16,16,17,17,17,18,18,19,19,20,21,22,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,11,12,12,13,14,15,15,human2_lib1.final_cell_0076
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0077
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,12,13,14,15,16,17,18,19,20,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,human2_lib1.final_cell_0078
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0079
2,2,2,2,14,15,16,16,17,17,17,18,18,19,19,20,21,22,23,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,10,10,11,12,12,13,14,15,15,human2_lib1.final_cell_0080
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0081
5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,10,10,10,9,10,10,10,13,14,15,15,16,16,17,18,18,19,20,5,5,5,5,5,6,6,6,6,8,8,human2_lib1.final_cell_0082
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,12,13,14,15,16,17,18,19,20,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,human2_lib1.final_cell_0083
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0084
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0085
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,12,13,14,15,16,17,18,19,20,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,human2_lib1.final_cell_0086
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0087
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,8,8,8,8,9,10,10,10,18,19,20,21,22,23,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0088
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0089
4,4,4,4,4,4,5,5,5,18,18,19,19,20,20,21,22,23,24,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,10,10,11,12,12,13,14,15,15,human2_lib1.final_cell_0090
8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,12,13,13,13,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,16,17,18,19,20,human2_lib1.final_cell_0091
2,2,2,2,14,15,16,16,17,17,17,18,18,19,19,20,21,22,23,7,7,7,12,12,13,14,14,15,15,15,16,16,17,18,2,2,10,10,11,12,12,13,14,15,15,human2_lib1.final_cell_0092
