sc3.sc3_10,sc3.sc3_11,sc3.sc3_12,sc3.sc3_13,sc3.sc3_14,sc3.sc3_15,sc3.sc3_16,sc3.sc3_17,sc3.sc3_18,sc3.sc3_19,sc3.sc3_20,sc3.sc3_21,sc3.sc3_22,sc3.sc3_23,sc3.sc3_24,sc3.sc3_25,sc3.sc3_26,sc3.sc3_27,sc3.sc3_28,sc3.sc3_29,sc3.sc3_30,sc3.sc3_31,Monocle.Monocle_10,Monocle.Monocle_11,Monocle.Monocle_12,Monocle.Monocle_13,Monocle.Monocle_14,Monocle.Monocle_15,Monocle.Monocle_16,Monocle.Monocle_17,Monocle.Monocle_18,Monocle.Monocle_19,Monocle.Monocle_20,Monocle.Monocle_21,Monocle.Monocle_22,Monocle.Monocle_23,Monocle.Monocle_24,Monocle.Monocle_25,Monocle.Monocle_26,Monocle.Monocle_27,Monocle.Monocle_28,Monocle.Monocle_29,Monocle.Monocle_30,Monocle.Monocle_31,Monocle.Monocle_32,Monocle.Monocle_33,Monocle.Monocle_34,Monocle.Monocle_35,Monocle.Monocle_36,Monocle.Monocle_37,Monocle.Monocle_38,Monocle.Monocle_39,Monocle.Monocle_40,Monocle.Monocle_41,Seurat.Seurat_10,Seurat.Seurat_11,Seurat.Seurat_12,Seurat.Seurat_13,Seurat.Seurat_14,Seurat.Seurat_15,Seurat.Seurat_16,Seurat.Seurat_17,Seurat.Seurat_18,Seurat.Seurat_19,Seurat.Seurat_20,Seurat.Seurat_21,Seurat.Seurat_22,Seurat.Seurat_23,Seurat.Seurat_24,Seurat.Seurat_25,cells
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,18,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,11,11,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP1504101T2D_J21
2,2,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,7,8,9,9,10,11,12,12,12,12,12,13,14,14,15,15,HP1504101T2D_J22
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,11,11,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP1504101T2D_J23
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_J24
2,2,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,7,8,9,9,10,11,12,12,12,12,12,13,14,14,15,15,HP1504101T2D_J3
1,1,1,1,5,5,5,5,5,5,5,5,5,9,9,9,9,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_J4
2,2,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,7,8,9,9,10,11,12,12,12,12,12,13,14,14,15,15,HP1504101T2D_J5
1,1,1,1,5,5,5,5,5,5,5,5,5,9,9,9,9,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_J6
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_J7
6,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,10,11,11,11,11,11,3,3,3,3,3,3,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,12,12,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_J8
2,2,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,7,8,9,9,10,11,12,12,12,12,12,13,14,14,15,15,HP1504101T2D_J9
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP1504101T2D_K1
1,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,1,2,2,2,6,6,6,6,6,6,6,6,6,6,7,7,HP1504101T2D_K10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,11,11,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP1504101T2D_K11
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_K12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,11,11,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP1504101T2D_K13
1,1,1,1,5,5,5,5,5,5,5,5,5,9,9,9,9,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_K14
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,11,11,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP1504101T2D_K15
6,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,10,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_K16
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_K17
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_K18
1,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,1,2,2,2,6,6,6,6,6,6,6,6,6,6,7,7,HP1504101T2D_K19
2,2,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,7,8,9,9,10,11,12,12,12,12,12,13,14,14,15,15,HP1504101T2D_K2
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_K20
1,1,1,1,5,5,5,5,5,5,5,5,5,9,9,9,9,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_K21
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_K22
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_K23
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_K24
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP1504101T2D_K3
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_K4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP1504101T2D_K5
1,1,1,1,5,5,5,5,5,5,5,5,5,9,9,9,9,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_K6
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,11,11,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP1504101T2D_K7
2,2,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,7,8,9,9,10,11,12,12,12,12,12,13,14,14,15,15,HP1504101T2D_K8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,11,11,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP1504101T2D_K9
2,2,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,7,8,9,9,10,11,12,12,12,12,12,13,14,14,15,15,HP1504101T2D_L1
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_L10
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,11,11,12,12,12,12,12,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,HP1504101T2D_L11
6,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,10,11,11,11,11,11,3,3,3,3,3,3,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,12,12,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_L12
2,2,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,7,8,9,9,10,11,12,12,12,12,12,13,14,14,15,15,HP1504101T2D_L13
1,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,1,2,2,2,6,6,6,6,6,6,6,6,6,6,7,7,HP1504101T2D_L14
2,2,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,7,8,9,9,10,11,12,12,12,12,12,13,14,14,15,15,HP1504101T2D_L15
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,HP1504101T2D_L16
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP1504101T2D_L17
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_L18
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_L19
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_L2
6,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,10,11,11,11,11,11,3,3,3,3,3,3,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,12,12,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_L20
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_L21
1,1,1,1,5,5,5,5,5,5,5,5,5,9,9,9,9,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_L22
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_L23
2,2,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,7,8,9,9,10,11,12,12,12,12,12,13,14,14,15,15,HP1504101T2D_L24
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_L3
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_L4
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,9,9,9,9,9,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_L5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,3,3,3,3,3,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,12,12,13,13,13,13,13,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,HP1504101T2D_L6
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_L7
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_L8
1,1,1,1,5,5,5,5,5,5,5,5,5,9,9,9,9,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_L9
2,2,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,7,8,9,9,10,11,12,12,12,12,12,13,14,14,15,15,HP1504101T2D_M1
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_M10
6,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,10,11,11,11,11,11,3,3,3,3,3,3,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,12,12,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_M11
1,1,1,1,5,5,5,5,5,5,5,5,5,9,9,9,9,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_M12
6,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,10,11,11,11,11,11,3,3,3,3,3,3,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,12,12,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_M13
6,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,10,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_M14
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_M15
6,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,10,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_M16
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,6,7,8,8,9,10,11,11,11,11,11,12,12,12,13,13,HP1504101T2D_M17
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_M18
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_M19
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_M2
1,1,1,1,5,5,5,5,5,5,5,5,5,9,9,9,9,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_M20
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_M21
6,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,10,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_M22
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_M23
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_M24
2,2,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,2,2,2,2,8,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,7,8,9,9,10,11,12,12,12,12,12,13,14,14,15,15,HP1504101T2D_M3
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_M4
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_M5
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_M6
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_M7
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,11,11,11,11,12,12,13,13,13,13,14,14,15,15,15,15,15,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,HP1504101T2D_M8
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_M9
7,8,8,8,9,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,5,10,10,11,12,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,18,18,19,19,20,20,21,22,22,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,HP1504101T2D_N1
5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,10,10,10,10,10,6,7,8,8,9,10,11,11,11,11,11,12,12,12,13,13,HP1504101T2D_N10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,15,15,15,15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18,18,18,1,1,1,1,1,1,1,1,1,1,1,8,8,19,20,20,HP1504101T2D_N11
