cells,sc3-Initial,Monocle-Initial,Seurat-Initial,garbage1-Initial,garbage2-Initial,sc3-33,Monocle-33,Seurat-33,garbage1-33,garbage2-33,sc3-66,Monocle-66,Seurat-66,garbage1-66,garbage2-66,sc3-90,Monocle-90,Seurat-90,garbage1-90,garbage2-90,sc3-Final,Monocle-Final,Seurat-Final,garbage1-Final,garbage2-Final
human2_lib1.final_cell_0045,1,14,4,1,6,1,14,4,1,6,1,7,4,1,6,1,7,4,1,6,1,7,4,1,6
human2_lib1.final_cell_0046,1,14,4,5,5,1,14,4,5,5,1,7,4,5,5,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0047,1,7,4,11,10,1,7,4,11,10,1,7,4,11,10,1,7,4,11,10,1,7,4,11,10
human2_lib1.final_cell_0048,1,7,4,23,5,1,7,4,23,5,1,7,4,23,5,1,7,4,23,2,1,7,4,23,2
human2_lib1.final_cell_0049,17,8,9,28,14,17,8,9,28,14,17,8,9,28,14,17,8,9,1,14,17,8,9,1,14
human2_lib1.final_cell_0050,23,9,8,12,5,23,9,8,12,5,23,9,8,12,5,23,3,8,12,2,23,3,8,12,2
human2_lib1.final_cell_0051,24,11,14,14,24,24,11,14,14,24,24,11,14,14,24,24,11,14,1,2,24,11,14,1,2
human2_lib1.final_cell_0052,1,7,4,24,12,1,7,4,24,12,1,7,4,24,12,1,7,4,1,12,1,7,4,1,12
human2_lib1.final_cell_0053,25,10,8,15,21,25,10,8,15,21,25,10,8,15,21,23,3,8,1,21,23,3,8,1,21
human2_lib1.final_cell_0054,13,21,13,12,5,13,21,13,12,5,13,21,13,12,5,13,16,13,12,2,13,16,13,12,2
human2_lib1.final_cell_0055,1,7,4,21,22,1,7,4,21,22,1,7,4,21,22,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0056,13,23,13,22,4,13,23,13,22,4,13,23,13,22,4,13,23,13,1,4,13,23,13,1,4
human2_lib1.final_cell_0057,13,23,13,28,24,13,23,13,28,24,13,23,13,28,24,13,23,13,1,2,13,23,13,1,2
human2_lib1.final_cell_0058,13,23,13,28,1,13,23,13,28,1,13,23,13,28,1,13,23,13,1,1,13,23,13,1,1
human2_lib1.final_cell_0059,1,7,4,17,4,1,7,4,17,4,1,7,4,17,4,1,7,4,17,4,1,7,4,17,4
human2_lib1.final_cell_0060,26,4,5,6,19,26,4,5,6,19,26,4,5,6,19,26,4,5,6,19,26,4,5,6,19
human2_lib1.final_cell_0061,26,4,5,17,27,26,4,5,17,27,26,4,5,17,27,26,4,5,17,2,26,4,5,17,2
human2_lib1.final_cell_0062,1,18,4,9,18,1,12,4,9,18,1,12,4,9,18,1,12,4,1,18,1,12,4,1,18
human2_lib1.final_cell_0063,13,23,13,9,19,13,23,13,9,19,13,23,13,9,19,13,23,13,1,19,13,23,13,1,19
human2_lib1.final_cell_0064,1,7,1,15,10,1,7,1,15,10,1,7,1,15,10,1,7,1,1,10,1,7,1,1,10
human2_lib1.final_cell_0065,1,14,4,27,13,1,14,4,27,13,1,7,4,27,13,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0066,1,14,4,23,23,1,14,4,23,23,1,7,4,23,23,1,7,4,23,2,1,7,4,23,2
human2_lib1.final_cell_0067,17,22,9,28,1,17,22,9,28,1,17,22,9,28,1,17,22,9,1,1,17,22,9,1,1
human2_lib1.final_cell_0068,13,23,13,4,22,13,23,13,4,22,13,23,13,4,22,13,23,13,4,2,13,23,13,4,2
human2_lib1.final_cell_0069,25,22,11,8,5,25,22,11,8,5,25,22,11,8,5,23,22,11,1,2,23,22,11,1,2
human2_lib1.final_cell_0070,23,9,8,1,6,23,9,8,1,6,23,9,8,1,6,23,3,8,1,6,23,3,8,1,6
human2_lib1.final_cell_0071,24,11,14,8,7,24,11,14,8,7,24,11,14,8,7,24,11,14,1,2,24,11,14,1,2
human2_lib1.final_cell_0072,1,14,4,27,22,1,14,4,27,22,1,7,4,27,22,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0073,13,23,13,14,14,13,23,13,14,14,13,23,13,14,14,13,23,13,1,14,13,23,13,1,14
human2_lib1.final_cell_0074,24,11,14,19,13,24,11,14,19,13,24,11,14,19,13,24,11,14,19,2,24,11,14,19,2
human2_lib1.final_cell_0075,1,14,4,5,25,1,14,4,5,25,1,7,4,5,25,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0076,13,20,13,18,12,13,20,13,18,12,13,20,13,18,12,13,20,13,1,12,13,20,13,1,12
human2_lib1.final_cell_0077,1,14,4,9,28,1,14,4,9,28,1,7,4,9,28,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0078,24,11,14,25,13,24,11,14,25,13,24,11,14,25,13,24,11,14,1,2,24,11,14,1,2
human2_lib1.final_cell_0079,1,14,4,10,25,1,14,4,10,25,1,7,4,10,25,1,7,4,10,2,1,7,4,10,2
human2_lib1.final_cell_0080,13,20,13,14,12,13,20,13,14,12,13,20,13,14,12,13,20,13,1,12,13,20,13,1,12
human2_lib1.final_cell_0081,1,7,4,21,11,1,7,4,21,11,1,7,4,21,11,1,7,4,1,11,1,7,4,1,11
human2_lib1.final_cell_0082,17,22,9,18,17,17,22,9,18,17,17,22,9,18,17,17,22,9,1,17,17,22,9,1,17
human2_lib1.final_cell_0083,24,11,14,17,1,24,11,14,17,1,24,11,14,17,1,24,11,14,17,1,24,11,14,17,1
human2_lib1.final_cell_0084,1,14,4,5,13,1,14,4,5,13,1,7,4,5,13,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0085,1,14,4,11,25,1,14,4,11,25,1,7,4,11,25,1,7,4,11,2,1,7,4,11,2
human2_lib1.final_cell_0086,24,11,14,24,15,24,11,14,24,15,24,11,14,24,15,24,11,14,1,2,24,11,14,1,2
human2_lib1.final_cell_0087,1,14,4,8,23,1,14,4,8,23,1,7,4,8,23,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0088,1,7,4,26,24,1,7,4,26,24,1,7,4,26,24,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0089,1,14,4,3,13,1,14,4,3,13,1,7,4,3,13,1,7,4,3,2,1,7,4,3,2
human2_lib1.final_cell_0090,14,20,13,12,3,14,20,13,12,3,14,20,13,12,3,14,20,13,12,2,14,20,13,12,2
human2_lib1.final_cell_0091,1,14,4,10,22,1,14,4,10,22,1,7,4,10,22,1,7,4,10,2,1,7,4,10,2
human2_lib1.final_cell_0092,13,23,13,19,17,13,23,13,19,17,13,23,13,19,17,13,23,13,19,17,13,23,13,19,17
human2_lib1.final_cell_0093,1,7,4,11,16,1,7,4,11,16,1,7,4,11,16,1,7,4,11,16,1,7,4,11,16
human2_lib1.final_cell_0094,24,11,14,24,1,24,11,14,24,1,24,11,14,24,1,24,11,14,1,1,24,11,14,1,1
human2_lib1.final_cell_0095,26,4,5,18,18,26,4,5,18,18,26,4,5,18,18,26,4,5,1,18,26,4,5,1,18
human2_lib1.final_cell_0096,18,24,16,6,19,18,24,16,6,19,18,24,16,6,19,18,24,16,6,19,18,24,16,6,19
human2_lib1.final_cell_0097,1,14,4,22,4,1,14,4,22,4,1,7,4,22,4,1,7,4,1,4,1,7,4,1,4
human2_lib1.final_cell_0098,17,22,9,23,4,17,22,9,23,4,17,22,9,23,4,17,22,9,23,4,17,22,9,23,4
human2_lib1.final_cell_0099,1,14,4,25,24,1,14,4,25,24,1,7,4,25,24,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0100,13,23,13,18,7,13,23,13,18,7,13,23,13,18,7,13,23,13,1,2,13,23,13,1,2
human2_lib1.final_cell_0101,13,23,13,11,26,13,23,13,11,26,13,23,13,11,26,13,23,13,11,2,13,23,13,11,2
human2_lib1.final_cell_0102,18,24,16,7,13,18,24,16,7,13,18,24,16,7,13,18,24,16,7,2,18,24,16,7,2
human2_lib1.final_cell_0103,1,7,4,6,2,1,7,4,6,2,1,7,4,6,2,1,7,4,6,2,1,7,4,6,2
human2_lib1.final_cell_0104,26,4,5,8,24,26,4,5,8,24,26,4,5,8,24,26,4,5,1,2,26,4,5,1,2
human2_lib1.final_cell_0105,13,23,13,2,4,13,23,13,2,4,13,23,13,2,4,13,23,13,2,4,13,23,13,2,4
human2_lib1.final_cell_0106,1,14,4,16,28,1,14,4,16,28,1,7,4,16,28,1,7,4,16,2,1,7,4,16,2
human2_lib1.final_cell_0107,13,23,13,21,22,13,23,13,21,22,13,23,13,21,22,13,23,13,1,2,13,23,13,1,2
human2_lib1.final_cell_0108,1,14,4,23,26,1,14,4,23,26,1,7,4,23,26,1,7,4,23,2,1,7,4,23,2
human2_lib1.final_cell_0109,1,14,4,16,6,1,14,4,16,6,1,7,4,16,6,1,7,4,16,6,1,7,4,16,6
human2_lib1.final_cell_0110,1,7,4,18,2,1,7,4,18,2,1,7,4,18,2,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0111,13,23,13,10,28,13,23,13,10,28,13,23,13,10,28,13,23,13,10,2,13,23,13,10,2
human2_lib1.final_cell_0112,17,8,9,14,20,17,8,9,14,20,17,8,9,14,20,17,8,9,1,20,17,8,9,1,20
human2_lib1.final_cell_0113,17,22,9,14,11,17,22,9,14,11,17,22,9,14,11,17,22,9,1,11,17,22,9,1,11
human2_lib1.final_cell_0114,1,14,4,23,6,1,14,4,23,6,1,7,4,23,6,1,7,4,23,6,1,7,4,23,6
human2_lib1.final_cell_0115,13,23,13,9,13,13,23,13,9,13,13,23,13,9,13,13,23,13,1,2,13,23,13,1,2
human2_lib1.final_cell_0116,18,24,16,10,23,18,24,16,10,23,18,24,16,10,23,18,24,16,10,2,18,24,16,10,2
human2_lib1.final_cell_0117,24,11,14,3,8,24,11,14,3,8,24,11,14,3,8,24,11,14,3,8,24,11,14,3,8
human2_lib1.final_cell_0118,1,7,4,19,23,1,7,4,19,23,1,7,4,19,23,1,7,4,19,2,1,7,4,19,2
human2_lib1.final_cell_0119,13,23,13,2,8,13,23,13,2,8,13,23,13,2,8,13,23,13,2,8,13,23,13,2,8
human2_lib1.final_cell_0120,1,14,4,28,23,1,14,4,28,23,1,7,4,28,23,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0121,17,22,9,17,1,17,22,9,17,1,17,22,9,17,1,17,22,9,17,1,17,22,9,17,1
human2_lib1.final_cell_0122,1,14,4,1,2,1,14,4,1,2,1,7,4,1,2,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0123,26,4,5,2,4,26,4,5,2,4,26,4,5,2,4,26,4,5,2,4,26,4,5,2,4
human2_lib1.final_cell_0124,25,6,18,1,13,25,6,18,1,13,25,6,18,1,13,23,6,18,1,2,23,6,18,1,2
human2_lib1.final_cell_0125,24,11,14,16,23,24,11,14,16,23,24,11,14,16,23,24,11,14,16,2,24,11,14,16,2
human2_lib1.final_cell_0126,13,23,13,20,19,13,23,13,20,19,13,23,13,20,19,13,23,13,20,19,13,23,13,20,19
human2_lib1.final_cell_0127,1,14,4,26,21,1,14,4,26,21,1,7,4,26,21,1,7,4,1,21,1,7,4,1,21
human2_lib1.final_cell_0128,13,23,13,21,5,13,23,13,21,5,13,23,13,21,5,13,23,13,1,2,13,23,13,1,2
human2_lib1.final_cell_0129,17,22,9,23,17,17,22,9,23,17,17,22,9,23,17,17,22,9,23,17,17,22,9,23,17
human2_lib1.final_cell_0130,1,14,4,18,26,1,14,4,18,26,1,7,4,18,26,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0131,1,7,4,17,20,1,7,4,17,20,1,7,4,17,20,1,7,4,17,20,1,7,4,17,20
human2_lib1.final_cell_0132,1,14,4,15,10,1,14,4,15,10,1,7,4,15,10,1,7,4,1,10,1,7,4,1,10
human2_lib1.final_cell_0133,1,14,4,12,14,1,14,4,12,14,1,7,4,12,14,1,7,4,12,14,1,7,4,12,14
human2_lib1.final_cell_0134,16,15,9,13,8,16,15,9,13,8,16,15,9,13,8,16,15,9,13,8,16,15,9,13,8
human2_lib1.final_cell_0135,1,14,4,20,19,1,14,4,20,19,1,7,4,20,19,1,7,4,20,19,1,7,4,20,19
human2_lib1.final_cell_0136,17,22,9,3,6,17,22,9,3,6,17,22,9,3,6,17,22,9,3,6,17,22,9,3,6
human2_lib1.final_cell_0137,13,2,13,11,22,13,2,13,11,22,13,2,13,11,22,13,2,13,11,2,13,2,13,11,2
human2_lib1.final_cell_0138,25,8,14,25,20,25,8,14,25,20,25,8,14,25,20,23,8,14,1,20,23,8,14,1,20
human2_lib1.final_cell_0139,13,23,13,14,1,13,23,13,14,1,13,23,13,14,1,13,23,13,1,1,13,23,13,1,1
human2_lib1.final_cell_0140,1,14,4,17,25,1,14,4,17,25,1,7,4,17,25,1,7,4,17,2,1,7,4,17,2
human2_lib1.final_cell_0141,13,23,13,8,25,13,23,13,8,25,13,23,13,8,25,13,23,13,1,2,13,23,13,1,2
human2_lib1.final_cell_0142,1,7,4,28,19,1,7,4,28,19,1,7,4,28,19,1,7,4,1,19,1,7,4,1,19
human2_lib1.final_cell_0143,23,9,8,18,22,23,9,8,18,22,23,9,8,18,22,23,3,8,1,2,23,3,8,1,2
human2_lib1.final_cell_0144,1,7,4,8,25,1,7,4,8,25,1,7,4,8,25,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0145,12,23,3,23,4,12,23,3,23,4,12,23,3,23,4,12,23,3,23,4,12,23,3,23,4
human2_lib1.final_cell_0146,1,7,4,13,21,1,7,4,13,21,1,7,4,13,21,1,7,4,13,21,1,7,4,13,21
human2_lib1.final_cell_0147,1,14,4,22,4,1,14,4,22,4,1,7,4,22,4,1,7,4,1,4,1,7,4,1,4
human2_lib1.final_cell_0148,1,7,4,24,13,1,7,4,24,13,1,7,4,24,13,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0149,1,7,4,1,10,1,7,4,1,10,1,7,4,1,10,1,7,4,1,10,1,7,4,1,10
human2_lib1.final_cell_0150,14,23,13,2,10,14,23,13,2,10,14,23,13,2,10,14,23,13,2,10,14,23,13,2,10
human2_lib1.final_cell_0151,17,22,9,19,19,17,22,9,19,19,17,22,9,19,19,17,22,9,19,19,17,22,9,19,19
human2_lib1.final_cell_0152,23,9,8,2,17,23,9,8,2,17,23,9,8,2,17,23,3,8,2,17,23,3,8,2,17
human2_lib1.final_cell_0153,1,14,4,23,14,1,14,4,23,14,1,7,4,23,14,1,7,4,23,14,1,7,4,23,14
human2_lib1.final_cell_0154,1,14,4,21,25,1,14,4,21,25,1,7,4,21,25,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0155,17,22,9,25,18,17,22,9,25,18,17,22,9,25,18,17,22,9,1,18,17,22,9,1,18
human2_lib1.final_cell_0156,26,4,5,1,27,26,4,5,1,27,26,4,5,1,27,26,4,5,1,2,26,4,5,1,2
human2_lib1.final_cell_0157,1,7,4,15,14,1,7,4,15,14,1,7,4,15,14,1,7,4,1,14,1,7,4,1,14
human2_lib1.final_cell_0158,1,14,4,19,3,1,14,4,19,3,1,7,4,19,3,1,7,4,19,2,1,7,4,19,2
human2_lib1.final_cell_0159,16,15,11,21,3,16,15,11,21,3,16,15,11,21,3,16,15,11,1,2,16,15,11,1,2
human2_lib1.final_cell_0160,17,22,9,18,12,17,22,9,18,12,17,22,9,18,12,17,22,9,1,12,17,22,9,1,12
human2_lib1.final_cell_0161,1,6,4,6,19,1,6,4,6,19,1,6,4,6,19,1,6,4,6,19,1,6,4,6,19
human2_lib1.final_cell_0162,1,7,4,14,6,1,7,4,14,6,1,7,4,14,6,1,7,4,1,6,1,7,4,1,6
human2_lib1.final_cell_0163,1,14,4,18,10,1,14,4,18,10,1,7,4,18,10,1,7,4,1,10,1,7,4,1,10
human2_lib1.final_cell_0164,1,7,4,25,28,1,7,4,25,28,1,7,4,25,28,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0165,23,9,8,22,15,23,9,8,22,15,23,9,8,22,15,23,3,8,1,2,23,3,8,1,2
human2_lib1.final_cell_0166,1,14,4,5,27,1,14,4,5,27,1,7,4,5,27,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0167,25,5,19,13,6,25,5,19,13,6,25,5,19,13,6,23,3,8,13,6,23,3,8,13,6
human2_lib1.final_cell_0168,1,14,4,6,13,1,14,4,6,13,1,7,4,6,13,1,7,4,6,2,1,7,4,6,2
human2_lib1.final_cell_0169,26,4,5,24,5,26,4,5,24,5,26,4,5,24,5,26,4,5,1,2,26,4,5,1,2
human2_lib1.final_cell_0170,1,14,4,10,23,1,14,4,10,23,1,7,4,10,23,1,7,4,10,2,1,7,4,10,2
human2_lib1.final_cell_0171,23,9,8,10,21,23,9,8,10,21,23,9,8,10,21,23,3,8,10,21,23,3,8,10,21
human2_lib1.final_cell_0172,1,14,4,27,1,1,14,4,27,1,1,7,4,27,1,1,7,4,1,1,1,7,4,1,1
human2_lib1.final_cell_0173,26,4,5,19,18,26,4,5,19,18,26,4,5,19,18,26,4,5,19,18,26,4,5,19,18
human2_lib1.final_cell_0174,1,18,4,9,23,1,12,4,9,23,1,12,4,9,23,1,12,4,1,2,1,12,4,1,2
human2_lib1.final_cell_0175,1,14,4,9,10,1,14,4,9,10,1,7,4,9,10,1,7,4,1,10,1,7,4,1,10
human2_lib1.final_cell_0176,1,7,4,23,18,1,7,4,23,18,1,7,4,23,18,1,7,4,23,18,1,7,4,23,18
human2_lib1.final_cell_0177,17,22,9,22,24,17,22,9,22,24,17,22,9,22,24,17,22,9,1,2,17,22,9,1,2
human2_lib1.final_cell_0178,1,14,4,18,27,1,14,4,18,27,1,7,4,18,27,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0179,1,7,4,15,28,1,7,4,15,28,1,7,4,15,28,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0180,1,14,4,24,21,1,14,4,24,21,1,7,4,24,21,1,7,4,1,21,1,7,4,1,21
human2_lib1.final_cell_0181,24,11,14,11,14,24,11,14,11,14,24,11,14,11,14,24,11,14,11,14,24,11,14,11,14
human2_lib1.final_cell_0182,13,23,13,17,14,13,23,13,17,14,13,23,13,17,14,13,23,13,17,14,13,23,13,17,14
human2_lib1.final_cell_0183,13,23,13,6,2,13,23,13,6,2,13,23,13,6,2,13,23,13,6,2,13,23,13,6,2
human2_lib1.final_cell_0184,1,14,4,11,15,1,14,4,11,15,1,7,4,11,15,1,7,4,11,2,1,7,4,11,2
human2_lib1.final_cell_0185,18,24,16,3,23,18,24,16,3,23,18,24,16,3,23,18,24,16,3,2,18,24,16,3,2
human2_lib1.final_cell_0186,25,8,14,20,3,25,8,14,20,3,25,8,14,20,3,23,8,14,20,2,23,8,14,20,2
human2_lib1.final_cell_0187,13,23,13,28,13,13,23,13,28,13,13,23,13,28,13,13,23,13,1,2,13,23,13,1,2
human2_lib1.final_cell_0188,25,3,15,5,3,25,3,15,5,3,25,3,15,5,3,23,3,8,1,2,23,3,8,1,2
human2_lib1.final_cell_0189,18,24,16,5,15,18,24,16,5,15,18,24,16,5,15,18,24,16,1,2,18,24,16,1,2
human2_lib1.final_cell_0190,17,22,9,19,11,17,22,9,19,11,17,22,9,19,11,17,22,9,19,11,17,22,9,19,11
human2_lib1.final_cell_0191,1,14,4,9,20,1,14,4,9,20,1,7,4,9,20,1,7,4,1,20,1,7,4,1,20
human2_lib1.final_cell_0192,17,8,9,24,18,17,8,9,24,18,17,8,9,24,18,17,8,9,1,18,17,8,9,1,18
human2_lib1.final_cell_0193,26,4,5,1,28,26,4,5,1,28,26,4,5,1,28,26,4,5,1,2,26,4,5,1,2
human2_lib1.final_cell_0194,24,11,14,28,26,24,11,14,28,26,24,11,14,28,26,24,11,14,1,2,24,11,14,1,2
human2_lib1.final_cell_0195,13,23,13,8,28,13,23,13,8,28,13,23,13,8,28,13,23,13,1,2,13,23,13,1,2
human2_lib1.final_cell_0196,13,2,13,15,23,13,2,13,15,23,13,2,13,15,23,13,2,13,1,2,13,2,13,1,2
human2_lib1.final_cell_0197,25,3,15,6,18,25,3,15,6,18,25,3,15,6,18,23,3,8,6,18,23,3,8,6,18
human2_lib1.final_cell_0198,13,23,13,6,28,13,23,13,6,28,13,23,13,6,28,13,23,13,6,2,13,23,13,6,2
human2_lib1.final_cell_0199,1,14,4,14,6,1,14,4,14,6,1,7,4,14,6,1,7,4,1,6,1,7,4,1,6
human2_lib1.final_cell_0200,26,4,5,25,4,26,4,5,25,4,26,4,5,25,4,26,4,5,1,4,26,4,5,1,4
human2_lib1.final_cell_0201,13,23,13,19,14,13,23,13,19,14,13,23,13,19,14,13,23,13,19,14,13,23,13,19,14
human2_lib1.final_cell_0202,23,9,8,11,8,23,9,8,11,8,23,9,8,11,8,23,3,8,11,8,23,3,8,11,8
human2_lib1.final_cell_0203,1,7,4,17,23,1,7,4,17,23,1,7,4,17,23,1,7,4,17,2,1,7,4,17,2
human2_lib1.final_cell_0204,13,23,13,10,10,13,23,13,10,10,13,23,13,10,10,13,23,13,10,10,13,23,13,10,10
human2_lib1.final_cell_0205,17,22,9,17,21,17,22,9,17,21,17,22,9,17,21,17,22,9,17,21,17,22,9,17,21
human2_lib1.final_cell_0206,13,20,13,28,1,13,20,13,28,1,13,20,13,28,1,13,20,13,1,1,13,20,13,1,1
human2_lib1.final_cell_0207,18,24,16,9,21,18,24,16,9,21,18,24,16,9,21,18,24,16,1,21,18,24,16,1,21
human2_lib1.final_cell_0208,1,14,4,13,5,1,14,4,13,5,1,7,4,13,5,1,7,4,13,2,1,7,4,13,2
human2_lib1.final_cell_0209,1,7,4,28,1,1,7,4,28,1,1,7,4,28,1,1,7,4,1,1,1,7,4,1,1
human2_lib1.final_cell_0210,3,6,18,13,18,3,6,18,13,18,3,6,18,13,18,1,6,18,13,18,1,6,18,13,18
human2_lib1.final_cell_0211,26,4,5,8,22,26,4,5,8,22,26,4,5,8,22,26,4,5,1,2,26,4,5,1,2
human2_lib1.final_cell_0212,1,14,4,12,15,1,14,4,12,15,1,7,4,12,15,1,7,4,12,2,1,7,4,12,2
human2_lib1.final_cell_0213,24,11,14,24,19,24,11,14,24,19,24,11,14,24,19,24,11,14,1,19,24,11,14,1,19
human2_lib1.final_cell_0214,1,14,4,9,3,1,14,4,9,3,1,7,4,9,3,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0215,13,23,13,26,1,13,23,13,26,1,13,23,13,26,1,13,23,13,1,1,13,23,13,1,1
human2_lib1.final_cell_0216,25,3,15,7,16,25,3,15,7,16,25,3,15,7,16,23,3,8,7,16,23,3,8,7,16
human2_lib1.final_cell_0217,23,9,8,19,14,23,9,8,19,14,23,9,8,19,14,23,3,8,19,14,23,3,8,19,14
human2_lib1.final_cell_0218,1,7,1,1,21,1,7,1,1,21,1,7,1,1,21,1,7,1,1,21,1,7,1,1,21
human2_lib1.final_cell_0219,13,23,13,15,19,13,23,13,15,19,13,23,13,15,19,13,23,13,1,19,13,23,13,1,19
human2_lib1.final_cell_0220,1,7,4,10,14,1,7,4,10,14,1,7,4,10,14,1,7,4,10,14,1,7,4,10,14
human2_lib1.final_cell_0221,1,14,4,13,1,1,14,4,13,1,1,7,4,13,1,1,7,4,13,1,1,7,4,13,1
human2_lib1.final_cell_0222,1,14,4,25,13,1,14,4,25,13,1,7,4,25,13,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0223,14,23,6,4,8,14,23,6,4,8,14,23,6,4,8,14,23,6,4,8,14,23,6,4,8
human2_lib1.final_cell_0224,13,23,13,21,14,13,23,13,21,14,13,23,13,21,14,13,23,13,1,14,13,23,13,1,14
human2_lib1.final_cell_0225,1,7,4,2,1,1,7,4,2,1,1,7,4,2,1,1,7,4,2,1,1,7,4,2,1
human2_lib1.final_cell_0226,18,21,16,25,18,18,21,16,25,18,18,21,16,25,18,18,16,16,1,18,18,16,16,1,18
human2_lib1.final_cell_0227,13,23,13,26,1,13,23,13,26,1,13,23,13,26,1,13,23,13,1,1,13,23,13,1,1
human2_lib1.final_cell_0228,1,14,4,12,23,1,14,4,12,23,1,7,4,12,23,1,7,4,12,2,1,7,4,12,2
human2_lib1.final_cell_0229,1,14,4,10,5,1,14,4,10,5,1,7,4,10,5,1,7,4,10,2,1,7,4,10,2
human2_lib1.final_cell_0230,1,18,4,18,18,1,12,4,18,18,1,12,4,18,18,1,12,4,1,18,1,12,4,1,18
human2_lib1.final_cell_0231,13,23,13,21,7,13,23,13,21,7,13,23,13,21,7,13,23,13,1,2,13,23,13,1,2
human2_lib1.final_cell_0232,17,22,9,6,14,17,22,9,6,14,17,22,9,6,14,17,22,9,6,14,17,22,9,6,14
human2_lib1.final_cell_0233,22,6,18,24,19,22,6,18,24,19,22,6,18,24,19,22,6,18,1,19,22,6,18,1,19
human2_lib1.final_cell_0234,23,9,8,19,21,23,9,8,19,21,23,9,8,19,21,23,3,8,19,21,23,3,8,19,21
human2_lib1.final_cell_0235,1,14,4,18,25,1,14,4,18,25,1,7,4,18,25,1,7,4,1,2,1,7,4,1,2
human2_lib1.final_cell_0236,13,23,13,5,16,13,23,13,5,16,13,23,13,5,16,13,23,13,1,16,13,23,13,1,16
human2_lib1.final_cell_0237,13,2,13,17,27,13,2,13,17,27,13,2,13,17,27,13,2,13,17,2,13,2,13,17,2
human2_lib1.final_cell_0238,18,18,16,17,20,18,12,16,17,20,18,12,16,17,20,18,12,16,17,20,18,12,16,17,20
human2_lib1.final_cell_0239,3,6,18,11,16,3,6,18,11,16,3,6,18,11,16,1,6,18,11,16,1,6,18,11,16
human2_lib1.final_cell_0240,1,14,4,15,18,1,14,4,15,18,1,7,4,15,18,1,7,4,1,18,1,7,4,1,18
human2_lib1.final_cell_0241,1,7,4,17,21,1,7,4,17,21,1,7,4,17,21,1,7,4,17,21,1,7,4,17,21
human2_lib1.final_cell_0242,13,2,13,3,19,13,2,13,3,19,13,2,13,3,19,13,2,13,3,19,13,2,13,3,19
human2_lib1.final_cell_0243,1,14,4,12,7,1,14,4,12,7,1,7,4,12,7,1,7,4,12,2,1,7,4,12,2
human2_lib1.final_cell_0244,25,3,15,20,23,25,3,15,20,23,25,3,15,20,23,23,3,8,20,2,23,3,8,20,2
human2_lib1.final_cell_0245,1,14,4,25,20,1,14,4,25,20,1,7,4,25,20,1,7,4,1,20,1,7,4,1,20
human2_lib1.final_cell_0246,26,4,5,22,8,26,4,5,22,8,26,4,5,22,8,26,4,5,1,8,26,4,5,1,8
human2_lib1.final_cell_0247,23,9,8,25,4,23,9,8,25,4,23,9,8,25,4,23,3,8,1,4,23,3,8,1,4
human2_lib1.final_cell_0248,18,24,16,21,12,18,24,16,21,12,18,24,16,21,12,18,24,16,1,12,18,24,16,1,12
human2_lib1.final_cell_0249,13,23,13,1,9,13,23,13,1,9,13,23,13,1,9,13,23,13,1,2,13,23,13,1,2
human2_lib1.final_cell_0250,3,6,18,22,26,3,6,18,22,26,3,6,18,22,26,1,6,18,1,2,1,6,18,1,2
human2_lib1.final_cell_0251,17,22,9,1,14,17,22,9,1,14,17,22,9,1,14,17,22,9,1,14,17,22,9,1,14
human2_lib1.final_cell_0252,13,23,13,26,26,13,23,13,26,26,13,23,13,26,26,13,23,13,1,2,13,23,13,1,2
human2_lib1.final_cell_0253,18,24,16,24,5,18,24,16,24,5,18,24,16,24,5,18,24,16,1,2,18,24,16,1,2
human2_lib1.final_cell_0254,13,23,13,1,2,13,23,13,1,2,13,23,13,1,2,13,23,13,1,2,13,23,13,1,2
human2_lib1.final_cell_0255,13,23,13,14,4,13,23,13,14,4,13,23,13,14,4,13,23,13,1,4,13,23,13,1,4
human2_lib1.final_cell_0256,17,22,9,27,20,17,22,9,27,20,17,22,9,27,20,17,22,9,1,20,17,22,9,1,20
