cells,sc3-Initial,Monocle-Initial,Seurat-Initial,garbage-Initial,sc3-33,Monocle-33,Seurat-33,garbage-33,sc3-66,Monocle-66,Seurat-66,garbage-66,sc3-90,Monocle-90,Seurat-90,garbage-90,sc3-Final,Monocle-Final,Seurat-Final,garbage-Final
human2_lib1.final_cell_0398,18,24,16,12,18,24,16,12,18,24,16,12,18,24,16,12,18,24,16,12
human2_lib1.final_cell_0399,18,24,16,8,18,24,16,8,18,24,16,8,18,24,16,8,18,24,16,1
human2_lib1.final_cell_0400,1,14,4,25,1,14,4,25,1,7,4,25,1,7,4,25,1,7,4,1
human2_lib1.final_cell_0401,26,4,5,15,26,4,5,15,26,4,5,15,26,4,5,15,26,4,5,15
human2_lib1.final_cell_0402,1,7,4,9,1,7,4,9,1,7,4,9,1,7,4,9,1,7,4,9
human2_lib1.final_cell_0403,24,8,14,16,24,8,14,16,24,8,14,16,24,8,14,16,24,8,14,16
human2_lib1.final_cell_0404,1,7,4,5,1,7,4,5,1,7,4,5,1,7,4,5,1,7,4,1
human2_lib1.final_cell_0405,13,24,10,27,13,24,10,27,13,24,10,27,13,24,10,27,13,24,10,1
human2_lib1.final_cell_0406,23,9,8,13,23,9,8,13,23,9,8,13,23,9,8,13,23,9,8,1
human2_lib1.final_cell_0407,18,24,16,10,18,24,16,10,18,24,16,10,18,24,16,10,18,24,16,10
human2_lib1.final_cell_0408,1,14,4,28,1,14,4,28,1,7,4,28,1,7,4,28,1,7,4,28
human2_lib1.final_cell_0409,1,7,1,27,1,7,1,27,1,7,1,27,1,7,1,27,1,7,1,1
human2_lib1.final_cell_0410,5,9,8,8,5,9,8,8,5,9,8,8,5,9,8,8,5,9,8,1
human2_lib1.final_cell_0411,24,11,14,27,24,11,14,27,24,11,14,27,24,11,14,27,24,11,14,1
human2_lib1.final_cell_0412,1,14,4,7,1,14,4,7,1,7,4,7,1,7,4,7,1,7,4,7
human2_lib1.final_cell_0413,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7
human2_lib1.final_cell_0414,18,24,16,1,18,24,16,1,18,24,16,1,18,24,16,1,18,24,16,1
human2_lib1.final_cell_0415,1,7,1,14,1,7,1,14,1,7,1,14,1,7,1,14,1,7,1,1
human2_lib1.final_cell_0416,1,18,4,13,1,12,4,13,1,12,4,13,1,12,4,13,1,12,4,1
human2_lib1.final_cell_0417,1,14,4,10,1,14,4,10,1,7,4,10,1,7,4,10,1,7,4,10
human2_lib1.final_cell_0418,25,6,18,26,25,6,18,26,25,6,18,26,25,6,18,26,25,6,18,26
human2_lib1.final_cell_0419,1,7,4,9,1,7,4,9,1,7,4,9,1,7,4,9,1,7,4,9
human2_lib1.final_cell_0420,1,7,4,2,1,7,4,2,1,7,4,2,1,7,4,2,1,7,4,2
human2_lib1.final_cell_0421,13,23,13,23,13,23,13,23,13,23,13,23,13,23,13,23,13,23,13,23
human2_lib1.final_cell_0422,25,5,19,22,25,5,19,22,25,5,19,22,25,5,19,22,25,3,15,1
human2_lib1.final_cell_0423,17,22,9,12,17,22,9,12,17,22,9,12,17,22,9,12,17,22,9,12
human2_lib1.final_cell_0424,1,14,4,8,1,14,4,8,1,7,4,8,1,7,4,8,1,7,4,1
human2_lib1.final_cell_0425,1,14,4,15,1,14,4,15,1,7,4,15,1,7,4,15,1,7,4,15
human2_lib1.final_cell_0426,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,1
human2_lib1.final_cell_0427,1,14,4,6,1,14,4,6,1,7,4,6,1,7,4,6,1,7,4,6
human2_lib1.final_cell_0428,1,14,4,27,1,14,4,27,1,7,4,27,1,7,4,27,1,7,4,1
human2_lib1.final_cell_0429,1,14,4,14,1,14,4,14,1,7,4,14,1,7,4,14,1,7,4,1
human2_lib1.final_cell_0430,13,23,13,7,13,23,13,7,13,23,13,7,13,23,13,7,13,23,13,7
human2_lib1.final_cell_0431,17,22,9,19,17,22,9,19,17,22,9,19,17,22,9,19,17,22,9,19
human2_lib1.final_cell_0432,18,24,16,12,18,24,16,12,18,24,16,12,18,24,16,12,18,24,16,12
human2_lib1.final_cell_0433,26,4,5,5,26,4,5,5,26,4,5,5,26,4,5,5,26,4,5,1
human2_lib1.final_cell_0434,17,22,9,4,17,22,9,4,17,22,9,4,17,22,9,4,17,22,9,4
human2_lib1.final_cell_0435,25,6,5,23,25,6,5,23,25,6,5,23,25,6,5,23,25,6,5,23
human2_lib1.final_cell_0436,13,23,13,25,13,23,13,25,13,23,13,25,13,23,13,25,13,23,13,1
human2_lib1.final_cell_0437,1,14,4,21,1,14,4,21,1,7,4,21,1,7,4,21,1,7,4,21
human2_lib1.final_cell_0438,22,8,9,22,22,8,9,22,22,8,9,22,22,8,9,22,22,8,9,1
human2_lib1.final_cell_0439,18,4,16,9,18,4,16,9,18,4,16,9,18,4,16,9,18,4,16,9
human2_lib1.final_cell_0440,1,14,4,1,1,14,4,1,1,7,4,1,1,7,4,1,1,7,4,1
human2_lib1.final_cell_0441,1,14,4,14,1,14,4,14,1,7,4,14,1,7,4,14,1,7,4,1
human2_lib1.final_cell_0442,1,14,4,8,1,14,4,8,1,7,4,8,1,7,4,8,1,7,4,1
human2_lib1.final_cell_0443,18,24,16,21,18,24,16,21,18,24,16,21,18,24,16,21,18,24,16,21
human2_lib1.final_cell_0444,23,9,8,16,23,9,8,16,23,9,8,16,23,9,8,16,23,9,8,16
human2_lib1.final_cell_0445,25,6,18,17,25,6,18,17,25,6,18,17,25,6,18,17,25,6,18,1
human2_lib1.final_cell_0446,22,22,9,8,22,22,9,8,22,22,9,8,22,22,9,8,22,22,9,1
human2_lib1.final_cell_0447,1,18,4,4,1,12,4,4,1,12,4,4,1,12,4,4,1,12,4,4
human2_lib1.final_cell_0448,1,18,4,23,1,12,4,23,1,12,4,23,1,12,4,23,1,12,4,23
human2_lib1.final_cell_0449,13,23,13,16,13,23,13,16,13,23,13,16,13,23,13,16,13,23,13,16
human2_lib1.final_cell_0450,17,22,9,1,17,22,9,1,17,22,9,1,17,22,9,1,17,22,9,1
human2_lib1.final_cell_0451,1,14,4,20,1,14,4,20,1,7,4,20,1,7,4,20,1,7,4,20
human2_lib1.final_cell_0452,18,24,16,26,18,24,16,26,18,24,16,26,18,24,16,26,18,24,16,26
human2_lib1.final_cell_0453,26,4,5,20,26,4,5,20,26,4,5,20,26,4,5,20,26,4,5,20
human2_lib1.final_cell_0454,1,7,4,11,1,7,4,11,1,7,4,11,1,7,4,11,1,7,4,11
human2_lib1.final_cell_0455,1,7,4,19,1,7,4,19,1,7,4,19,1,7,4,19,1,7,4,19
human2_lib1.final_cell_0456,17,22,9,22,17,22,9,22,17,22,9,22,17,22,9,22,17,22,9,1
human2_lib1.final_cell_0457,23,9,8,20,23,9,8,20,23,9,8,20,23,9,8,20,23,9,8,20
human2_lib1.final_cell_0458,1,14,4,8,1,14,4,8,1,7,4,8,1,7,4,8,1,7,4,1
human2_lib1.final_cell_0459,1,14,4,1,1,14,4,1,1,7,4,1,1,7,4,1,1,7,4,1
human2_lib1.final_cell_0460,1,7,4,18,1,7,4,18,1,7,4,18,1,7,4,18,1,7,4,1
human2_lib1.final_cell_0461,18,6,13,15,18,6,13,15,18,6,13,15,18,6,13,15,18,6,13,15
human2_lib1.final_cell_0462,1,14,4,28,1,14,4,28,1,7,4,28,1,7,4,28,1,7,4,28
human2_lib1.final_cell_0463,13,23,6,6,13,23,6,6,13,23,6,6,13,23,6,6,13,23,6,6
human2_lib1.final_cell_0464,1,14,4,6,1,14,4,6,1,7,4,6,1,7,4,6,1,7,4,6
human2_lib1.final_cell_0465,1,14,4,25,1,14,4,25,1,7,4,25,1,7,4,25,1,7,4,1
human2_lib1.final_cell_0466,19,19,12,5,19,19,12,5,19,19,12,5,19,19,12,5,5,19,12,1
human2_lib1.final_cell_0467,17,22,9,13,17,22,9,13,17,22,9,13,17,22,9,13,17,22,9,1
human2_lib1.final_cell_0468,22,9,8,21,22,9,8,21,22,9,8,21,22,9,8,21,22,9,8,21
human2_lib1.final_cell_0469,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,1
human2_lib1.final_cell_0470,18,24,16,22,18,24,16,22,18,24,16,22,18,24,16,22,18,24,16,1
human2_lib1.final_cell_0471,23,9,8,24,23,9,8,24,23,9,8,24,23,9,8,24,23,9,8,1
human2_lib1.final_cell_0472,1,7,4,22,1,7,4,22,1,7,4,22,1,7,4,22,1,7,4,1
human2_lib1.final_cell_0473,24,11,2,12,24,11,2,12,24,11,2,12,24,11,2,12,24,11,2,12
human2_lib1.final_cell_0474,13,23,13,23,13,23,13,23,13,23,13,23,13,23,13,23,13,23,13,23
human2_lib1.final_cell_0475,19,19,12,16,19,19,12,16,19,19,12,16,19,19,12,16,5,19,12,16
human2_lib1.final_cell_0476,1,14,4,25,1,14,4,25,1,7,4,25,1,7,4,25,1,7,4,1
human2_lib1.final_cell_0477,18,24,16,15,18,24,16,15,18,24,16,15,18,24,16,15,18,24,16,15
human2_lib1.final_cell_0478,18,24,16,15,18,24,16,15,18,24,16,15,18,24,16,15,18,24,16,15
human2_lib1.final_cell_0479,17,22,9,20,17,22,9,20,17,22,9,20,17,22,9,20,17,22,9,20
human2_lib1.final_cell_0480,1,18,7,11,1,12,7,11,1,12,4,11,1,12,4,11,1,12,4,11
human2_lib1.final_cell_0481,23,9,8,19,23,9,8,19,23,9,8,19,23,9,8,19,23,9,8,19
human2_lib1.final_cell_0482,25,3,15,11,25,3,15,11,25,3,15,11,25,3,15,11,25,3,15,11
human2_lib1.final_cell_0483,13,23,13,9,13,23,13,9,13,23,13,9,13,23,13,9,13,23,13,9
human2_lib1.final_cell_0484,13,23,13,2,13,23,13,2,13,23,13,2,13,23,13,2,13,23,13,2
human2_lib1.final_cell_0485,25,3,15,3,25,3,15,3,25,3,15,3,25,3,15,3,25,3,15,1
human2_lib1.final_cell_0486,1,7,4,11,1,7,4,11,1,7,4,11,1,7,4,11,1,7,4,11
human2_lib1.final_cell_0487,13,2,13,23,13,2,13,23,13,2,13,23,13,2,13,23,13,2,13,23
human2_lib1.final_cell_0488,13,23,13,2,13,23,13,2,13,23,13,2,13,23,13,2,13,23,13,2
human2_lib1.final_cell_0489,1,14,4,5,1,14,4,5,1,7,4,5,1,7,4,5,1,7,4,1
human2_lib1.final_cell_0490,22,22,9,15,22,22,9,15,22,22,9,15,22,22,9,15,22,22,9,15
human2_lib1.final_cell_0491,1,7,4,21,1,7,4,21,1,7,4,21,1,7,4,21,1,7,4,21
human2_lib1.final_cell_0492,1,14,4,18,1,14,4,18,1,7,4,18,1,7,4,18,1,7,4,1
human2_lib1.final_cell_0493,1,14,4,15,1,14,4,15,1,7,4,15,1,7,4,15,1,7,4,15
human2_lib1.final_cell_0494,18,24,16,28,18,24,16,28,18,24,16,28,18,24,16,28,18,24,16,28
human2_lib1.final_cell_0495,23,9,8,28,23,9,8,28,23,9,8,28,23,9,8,28,23,9,8,28
human2_lib1.final_cell_0496,1,14,4,6,1,14,4,6,1,7,4,6,1,7,4,6,1,7,4,6
human2_lib1.final_cell_0497,14,20,6,27,14,20,6,27,14,20,6,27,14,20,6,27,14,20,6,1
human2_lib1.final_cell_0498,1,7,1,6,1,7,1,6,1,7,1,6,1,7,1,6,1,7,1,6
human2_lib1.final_cell_0499,1,7,4,10,1,7,4,10,1,7,4,10,1,7,4,10,1,7,4,10
human2_lib1.final_cell_0500,25,10,8,19,25,10,8,19,25,10,8,19,25,9,8,19,25,9,8,19
human2_lib1.final_cell_0501,18,24,16,18,18,24,16,18,18,24,16,18,18,24,16,18,18,24,16,1
human2_lib1.final_cell_0502,1,14,4,20,1,14,4,20,1,7,4,20,1,7,4,20,1,7,4,20
human2_lib1.final_cell_0503,1,14,4,13,1,14,4,13,1,7,4,13,1,7,4,13,1,7,4,1
human2_lib1.final_cell_0504,1,7,4,23,1,7,4,23,1,7,4,23,1,7,4,23,1,7,4,23
human2_lib1.final_cell_0505,3,19,12,19,3,19,12,19,3,19,12,19,1,19,12,19,1,19,12,19
human2_lib1.final_cell_0506,1,7,4,3,1,7,4,3,1,7,4,3,1,7,4,3,1,7,4,1
human2_lib1.final_cell_0507,25,10,8,6,25,10,8,6,25,10,8,6,25,9,8,6,25,9,8,6
human2_lib1.final_cell_0508,1,7,4,28,1,7,4,28,1,7,4,28,1,7,4,28,1,7,4,28
human2_lib1.final_cell_0509,3,19,12,25,3,19,12,25,3,19,12,25,1,19,12,25,1,19,12,1
human2_lib1.final_cell_0510,1,7,4,7,1,7,4,7,1,7,4,7,1,7,4,7,1,7,4,7
human2_lib1.final_cell_0511,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,1
human2_lib1.final_cell_0512,1,14,4,23,1,14,4,23,1,7,4,23,1,7,4,23,1,7,4,23
human2_lib1.final_cell_0513,13,23,13,26,13,23,13,26,13,23,13,26,13,23,13,26,13,23,13,26
human2_lib1.final_cell_0514,13,2,13,1,13,2,13,1,13,2,13,1,13,2,13,1,13,2,13,1
human2_lib1.final_cell_0515,15,23,13,15,15,23,13,15,15,23,13,15,15,23,13,15,15,23,13,15
human2_lib1.final_cell_0516,13,23,13,20,13,23,13,20,13,23,13,20,13,23,13,20,13,23,13,20
human2_lib1.final_cell_0517,22,22,9,7,22,22,9,7,22,22,9,7,22,22,9,7,22,22,9,7
human2_lib1.final_cell_0518,1,6,13,25,1,6,13,25,1,6,13,25,1,6,13,25,1,6,13,1
human2_lib1.final_cell_0519,1,7,4,16,1,7,4,16,1,7,4,16,1,7,4,16,1,7,4,16
human2_lib1.final_cell_0520,25,8,9,21,25,8,9,21,25,8,9,21,25,8,9,21,25,8,9,21
human2_lib1.final_cell_0521,1,7,4,8,1,7,4,8,1,7,4,8,1,7,4,8,1,7,4,1
human2_lib1.final_cell_0522,13,23,13,7,13,23,13,7,13,23,13,7,13,23,13,7,13,23,13,7
human2_lib1.final_cell_0523,23,9,8,24,23,9,8,24,23,9,8,24,23,9,8,24,23,9,8,1
human2_lib1.final_cell_0524,22,15,9,14,22,15,9,14,22,15,9,14,22,15,9,14,22,15,9,1
human2_lib1.final_cell_0525,25,5,20,1,25,5,20,1,25,5,20,1,25,5,20,1,25,3,15,1
human2_lib1.final_cell_0526,1,7,4,15,1,7,4,15,1,7,4,15,1,7,4,15,1,7,4,15
human2_lib1.final_cell_0527,13,21,12,12,13,21,12,12,13,21,12,12,13,21,12,12,13,16,12,12
human2_lib1.final_cell_0528,3,19,12,19,3,19,12,19,3,19,12,19,1,19,12,19,1,19,12,19
human2_lib1.final_cell_0529,1,7,4,24,1,7,4,24,1,7,4,24,1,7,4,24,1,7,4,1
human2_lib1.final_cell_0530,19,19,12,7,19,19,12,7,19,19,12,7,19,19,12,7,5,19,12,7
human2_lib1.final_cell_0531,18,24,16,21,18,24,16,21,18,24,16,21,18,24,16,21,18,24,16,21
human2_lib1.final_cell_0532,19,19,12,28,19,19,12,28,19,19,12,28,19,19,12,28,5,19,12,28
human2_lib1.final_cell_0533,24,11,14,10,24,11,14,10,24,11,14,10,24,11,14,10,24,11,14,10
human2_lib1.final_cell_0534,17,22,9,3,17,22,9,3,17,22,9,3,17,22,9,3,17,22,9,1
human2_lib1.final_cell_0535,17,8,9,12,17,8,9,12,17,8,9,12,17,8,9,12,17,8,9,12
human2_lib1.final_cell_0536,17,22,9,13,17,22,9,13,17,22,9,13,17,22,9,13,17,22,9,1
human2_lib1.final_cell_0537,1,7,4,26,1,7,4,26,1,7,4,26,1,7,4,26,1,7,4,26
human2_lib1.final_cell_0538,19,19,12,16,19,19,12,16,19,19,12,16,19,19,12,16,5,19,12,16
human2_lib1.final_cell_0539,22,22,9,21,22,22,9,21,22,22,9,21,22,22,9,21,22,22,9,21
human2_lib1.final_cell_0540,19,16,12,7,19,16,12,7,19,16,12,7,19,16,12,7,5,16,12,7
human2_lib1.final_cell_0541,25,3,15,18,25,3,15,18,25,3,15,18,25,3,15,18,25,3,15,1
human2_lib1.final_cell_0542,19,19,12,27,19,19,12,27,19,19,12,27,19,19,12,27,5,19,12,1
human2_lib1.final_cell_0543,19,19,12,13,19,19,12,13,19,19,12,13,19,19,12,13,5,19,12,1
human2_lib1.final_cell_0544,22,5,19,5,22,5,19,5,22,5,19,5,22,5,19,5,22,3,15,1
human2_lib1.final_cell_0545,18,2,16,18,18,2,16,18,18,2,16,18,18,2,16,18,18,2,16,1
human2_lib1.final_cell_0546,22,15,9,12,22,15,9,12,22,15,9,12,22,15,9,12,22,15,9,12
human2_lib1.final_cell_0547,17,22,9,8,17,22,9,8,17,22,9,8,17,22,9,8,17,22,9,1
human2_lib1.final_cell_0548,13,2,6,9,13,2,6,9,13,2,6,9,13,2,6,9,13,2,6,9
human2_lib1.final_cell_0549,25,10,8,20,25,10,8,20,25,10,8,20,25,9,8,20,25,9,8,20
human2_lib1.final_cell_0550,24,11,14,10,24,11,14,10,24,11,14,10,24,11,14,10,24,11,14,10
human2_lib1.final_cell_0551,1,19,12,11,1,19,12,11,1,19,12,11,1,19,12,11,1,19,12,11
human2_lib1.final_cell_0552,1,12,18,1,1,12,18,1,1,12,18,1,1,12,18,1,1,12,18,1
human2_lib1.final_cell_0553,22,8,9,11,22,8,9,11,22,8,9,11,22,8,9,11,22,8,9,11
human2_lib1.final_cell_0554,3,19,12,22,3,19,12,22,3,19,12,22,1,19,12,22,1,19,12,1
human2_lib1.final_cell_0555,17,22,9,11,17,22,9,11,17,22,9,11,17,22,9,11,17,22,9,11
human2_lib1.final_cell_0556,19,19,12,13,19,19,12,13,19,19,12,13,19,19,12,13,5,19,12,1
human2_lib1.final_cell_0557,19,19,12,8,19,19,12,8,19,19,12,8,19,19,12,8,5,19,12,1
human2_lib1.final_cell_0558,25,11,14,26,25,11,14,26,25,11,14,26,25,11,14,26,25,11,14,26
human2_lib1.final_cell_0559,19,19,12,5,19,19,12,5,19,19,12,5,19,19,12,5,5,19,12,1
human2_lib2.final_cell_0001,26,4,5,11,26,4,5,11,26,4,5,11,26,4,5,11,26,4,5,11
human2_lib2.final_cell_0002,1,14,20,10,1,14,20,10,1,7,20,10,1,7,20,10,1,7,15,10
human2_lib2.final_cell_0003,1,6,4,14,1,6,4,14,1,6,4,14,1,6,4,14,1,6,4,1
human2_lib2.final_cell_0004,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2
human2_lib2.final_cell_0005,1,14,4,10,1,14,4,10,1,7,4,10,1,7,4,10,1,7,4,10
human2_lib2.final_cell_0006,26,4,5,18,26,4,5,18,26,4,5,18,26,4,5,18,26,4,5,1
human2_lib2.final_cell_0007,26,22,9,18,26,22,9,18,26,22,9,18,26,22,9,18,26,22,9,1
human2_lib2.final_cell_0008,1,14,4,10,1,14,4,10,1,7,4,10,1,7,4,10,1,7,4,10
human2_lib2.final_cell_0009,26,4,5,18,26,4,5,18,26,4,5,18,26,4,5,18,26,4,5,1
human2_lib2.final_cell_0010,26,4,5,1,26,4,5,1,26,4,5,1,26,4,5,1,26,4,5,1
human2_lib2.final_cell_0011,26,4,5,27,26,4,5,27,26,4,5,27,26,4,5,27,26,4,5,1
human2_lib2.final_cell_0012,22,23,8,17,22,23,8,17,22,23,8,17,22,23,8,17,22,23,8,1
human2_lib2.final_cell_0013,13,19,13,21,13,19,13,21,13,19,13,21,13,19,13,21,13,19,13,21
human2_lib2.final_cell_0014,26,4,5,9,26,4,5,9,26,4,5,9,26,4,5,9,26,4,5,9
human2_lib2.final_cell_0015,24,11,14,20,24,11,14,20,24,11,14,20,24,11,14,20,24,11,14,20
human2_lib2.final_cell_0016,24,11,14,8,24,11,14,8,24,11,14,8,24,11,14,8,24,11,14,1
human2_lib2.final_cell_0017,24,11,14,13,24,11,14,13,24,11,14,13,24,11,14,13,24,11,14,1
human2_lib2.final_cell_0018,17,8,9,10,17,8,9,10,17,8,9,10,17,8,9,10,17,8,9,10
human2_lib2.final_cell_0019,1,14,4,22,1,14,4,22,1,7,4,22,1,7,4,22,1,7,4,1
human2_lib2.final_cell_0020,26,4,5,12,26,4,5,12,26,4,5,12,26,4,5,12,26,4,5,12
human2_lib2.final_cell_0021,25,5,19,25,25,5,19,25,25,5,19,25,25,5,19,25,25,3,15,1
human2_lib2.final_cell_0022,13,23,13,19,13,23,13,19,13,23,13,19,13,23,13,19,13,23,13,19
human2_lib2.final_cell_0023,26,4,5,16,26,4,5,16,26,4,5,16,26,4,5,16,26,4,5,16
human2_lib2.final_cell_0024,24,11,14,3,24,11,14,3,24,11,14,3,24,11,14,3,24,11,14,1
human2_lib2.final_cell_0025,13,23,13,20,13,23,13,20,13,23,13,20,13,23,13,20,13,23,13,20
human2_lib2.final_cell_0026,26,4,5,7,26,4,5,7,26,4,5,7,26,4,5,7,26,4,5,7
human2_lib2.final_cell_0027,1,6,4,4,1,6,4,4,1,6,4,4,1,6,4,4,1,6,4,4
human2_lib2.final_cell_0028,1,14,4,18,1,14,4,18,1,7,4,18,1,7,4,18,1,7,4,1
human2_lib2.final_cell_0029,23,9,8,3,23,9,8,3,23,9,8,3,23,9,8,3,23,9,8,1
human2_lib2.final_cell_0030,25,8,14,11,25,8,14,11,25,8,14,11,25,8,14,11,25,8,14,11
human2_lib2.final_cell_0031,13,2,13,10,13,2,13,10,13,2,13,10,13,2,13,10,13,2,13,10
human2_lib2.final_cell_0032,24,11,14,26,24,11,14,26,24,11,14,26,24,11,14,26,24,11,14,26
human2_lib2.final_cell_0033,1,14,4,21,1,14,4,21,1,7,4,21,1,7,4,21,1,7,4,21
human2_lib2.final_cell_0034,26,4,5,23,26,4,5,23,26,4,5,23,26,4,5,23,26,4,5,23
human2_lib2.final_cell_0035,17,22,9,15,17,22,9,15,17,22,9,15,17,22,9,15,17,22,9,15
human2_lib2.final_cell_0036,24,11,14,9,24,11,14,9,24,11,14,9,24,11,14,9,24,11,14,9
human2_lib2.final_cell_0037,13,23,13,24,13,23,13,24,13,23,13,24,13,23,13,24,13,23,13,1
human2_lib2.final_cell_0038,1,7,4,14,1,7,4,14,1,7,4,14,1,7,4,14,1,7,4,1
human2_lib2.final_cell_0039,18,12,16,12,18,12,16,12,18,12,16,12,18,12,16,12,18,12,16,12
human2_lib2.final_cell_0040,12,2,13,21,12,2,13,21,12,2,13,21,12,2,13,21,12,2,13,21
human2_lib2.final_cell_0041,1,14,4,8,1,14,4,8,1,7,4,8,1,7,4,8,1,7,4,1
human2_lib2.final_cell_0042,13,23,13,21,13,23,13,21,13,23,13,21,13,23,13,21,13,23,13,21
human2_lib2.final_cell_0043,24,11,14,28,24,11,14,28,24,11,14,28,24,11,14,28,24,11,14,28
human2_lib2.final_cell_0044,24,11,14,1,24,11,14,1,24,11,14,1,24,11,14,1,24,11,14,1
human2_lib2.final_cell_0045,24,11,14,7,24,11,14,7,24,11,14,7,24,11,14,7,24,11,14,7
human2_lib2.final_cell_0046,13,23,13,7,13,23,13,7,13,23,13,7,13,23,13,7,13,23,13,7
human2_lib2.final_cell_0047,26,4,5,16,26,4,5,16,26,4,5,16,26,4,5,16,26,4,5,16
human2_lib2.final_cell_0048,13,23,13,23,13,23,13,23,13,23,13,23,13,23,13,23,13,23,13,23
human2_lib2.final_cell_0049,25,6,18,25,25,6,18,25,25,6,18,25,25,6,18,25,25,6,18,1
human2_lib2.final_cell_0050,22,8,9,4,22,8,9,4,22,8,9,4,22,8,9,4,22,8,9,4
human2_lib2.final_cell_0051,1,14,4,17,1,14,4,17,1,7,4,17,1,7,4,17,1,7,4,1
human2_lib2.final_cell_0052,24,11,14,2,24,11,14,2,24,11,14,2,24,11,14,2,24,11,14,2
human2_lib2.final_cell_0053,17,22,9,26,17,22,9,26,17,22,9,26,17,22,9,26,17,22,9,26
human2_lib2.final_cell_0054,13,2,13,10,13,2,13,10,13,2,13,10,13,2,13,10,13,2,13,10
human2_lib2.final_cell_0055,1,14,7,21,1,14,7,21,1,7,4,21,1,7,4,21,1,7,4,21
human2_lib2.final_cell_0056,13,23,13,5,13,23,13,5,13,23,13,5,13,23,13,5,13,23,13,1
human2_lib2.final_cell_0057,13,23,13,9,13,23,13,9,13,23,13,9,13,23,13,9,13,23,13,9
human2_lib2.final_cell_0058,13,23,13,11,13,23,13,11,13,23,13,11,13,23,13,11,13,23,13,11
human2_lib2.final_cell_0059,1,14,4,8,1,14,4,8,1,7,4,8,1,7,4,8,1,7,4,1
human2_lib2.final_cell_0060,1,7,4,28,1,7,4,28,1,7,4,28,1,7,4,28,1,7,4,28
human2_lib2.final_cell_0061,25,6,17,14,25,6,17,14,25,6,17,14,25,6,17,14,25,6,17,1
human2_lib2.final_cell_0062,13,23,13,7,13,23,13,7,13,23,13,7,13,23,13,7,13,23,13,7
human2_lib2.final_cell_0063,1,18,4,2,1,12,4,2,1,12,4,2,1,12,4,2,1,12,4,2
human2_lib2.final_cell_0064,13,23,13,14,13,23,13,14,13,23,13,14,13,23,13,14,13,23,13,1
human2_lib2.final_cell_0065,13,2,13,28,13,2,13,28,13,2,13,28,13,2,13,28,13,2,13,28
human2_lib2.final_cell_0066,13,23,13,5,13,23,13,5,13,23,13,5,13,23,13,5,13,23,13,1
human2_lib2.final_cell_0067,24,11,14,13,24,11,14,13,24,11,14,13,24,11,14,13,24,11,14,1
human2_lib2.final_cell_0068,13,23,13,11,13,23,13,11,13,23,13,11,13,23,13,11,13,23,13,11
human2_lib2.final_cell_0069,23,9,8,27,23,9,8,27,23,9,8,27,23,9,8,27,23,9,8,1
human2_lib2.final_cell_0070,13,23,13,22,13,23,13,22,13,23,13,22,13,23,13,22,13,23,13,1
human2_lib2.final_cell_0071,24,11,14,4,24,11,14,4,24,11,14,4,24,11,14,4,24,11,14,4
human2_lib2.final_cell_0072,13,23,13,21,13,23,13,21,13,23,13,21,13,23,13,21,13,23,13,21
human2_lib2.final_cell_0073,13,23,13,25,13,23,13,25,13,23,13,25,13,23,13,25,13,23,13,1
human2_lib2.final_cell_0074,1,14,4,13,1,14,4,13,1,7,4,13,1,7,4,13,1,7,4,1
human2_lib2.final_cell_0075,17,22,9,24,17,22,9,24,17,22,9,24,17,22,9,24,17,22,9,1
human2_lib2.final_cell_0076,24,11,14,14,24,11,14,14,24,11,14,14,24,11,14,14,24,11,14,1
human2_lib2.final_cell_0077,13,23,13,7,13,23,13,7,13,23,13,7,13,23,13,7,13,23,13,7
human2_lib2.final_cell_0078,24,8,14,20,24,8,14,20,24,8,14,20,24,8,14,20,24,8,14,20
human2_lib2.final_cell_0079,1,14,4,20,1,14,4,20,1,7,4,20,1,7,4,20,1,7,4,20
human2_lib2.final_cell_0080,17,22,9,8,17,22,9,8,17,22,9,8,17,22,9,8,17,22,9,1
human2_lib2.final_cell_0081,18,24,16,9,18,24,16,9,18,24,16,9,18,24,16,9,18,24,16,9
human2_lib2.final_cell_0082,1,7,4,7,1,7,4,7,1,7,4,7,1,7,4,7,1,7,4,7
human2_lib2.final_cell_0083,13,23,13,11,13,23,13,11,13,23,13,11,13,23,13,11,13,23,13,11
human2_lib2.final_cell_0084,13,23,13,7,13,23,13,7,13,23,13,7,13,23,13,7,13,23,13,7
human2_lib2.final_cell_0085,23,9,8,21,23,9,8,21,23,9,8,21,23,9,8,21,23,9,8,21
human2_lib2.final_cell_0086,13,23,13,28,13,23,13,28,13,23,13,28,13,23,13,28,13,23,13,28
human2_lib2.final_cell_0087,13,23,13,27,13,23,13,27,13,23,13,27,13,23,13,27,13,23,13,1
human2_lib2.final_cell_0088,1,14,4,7,1,14,4,7,1,7,4,7,1,7,4,7,1,7,4,7
human2_lib2.final_cell_0089,13,23,13,1,13,23,13,1,13,23,13,1,13,23,13,1,13,23,13,1
